Order_ID,Order_Date,State,City,Category,Unit_Price,Quantity,Discount,Shipping_Mode,Shipping_Days,Payment_Method,Sales,Cost,Profit
100000,2023-01-01 00:00:00,WA,Miami,Accessories,227.62,1,0.0,Two-Day,3,Google Pay,227.62,146.9163244809103,80.7036755190897
100001,2023-01-01 01:00:00,FL,New York,Cameras,1332.11,2,0.0,Two-Day,1,PayPal,2664.22,1600.3357713221412,1063.8842286778586
100002,2023-01-01 02:00:00,GA,Austin,Accessories,1100.06,1,0.1,Express,6,Google Pay,990.054,794.2328216374209,195.82117836257908
100003,2023-01-01 03:00:00,IL,Chicago,Gaming,263.71,4,0.0,Two-Day,7,Apple Pay,1054.84,877.7897135383356,177.0502864616643
100004,2023-01-01 04:00:00,WA,Chicago,Cameras,857.41,4,0.15,Two-Day,9,PayPal,2915.194,2299.1339205867234,616.0600794132765
100005,2023-01-01 05:00:00,OH,Atlanta,Accessories,482.73,1,0.0,Standard,7,PayPal,482.73,294.8730293351009,187.8569706648991
100006,2023-01-01 06:00:00,NY,Miami,Accessories,283.78,1,0.0,Express,4,Debit Card,283.78,214.2844973096319,69.49550269036808
100007,2023-01-01 07:00:00,WA,Miami,Smartphones,1291.59,3,0.15,Standard,4,Apple Pay,3293.5544999999997,2379.2733748237074,914.2811251762923
100008,2023-01-01 08:00:00,GA,Columbus,Accessories,617.21,2,0.0,Two-Day,8,Apple Pay,1234.42,897.0876501196542,337.3323498803459
100009,2023-01-01 09:00:00,IL,Seattle,Gaming,609.84,4,0.15,Two-Day,4,Google Pay,2073.456,1696.2880769503224,377.1679230496777
100010,2023-01-01 10:00:00,FL,Miami,Laptops,271.43,4,0.2,Two-Day,1,Apple Pay,868.576,780.4762966216492,88.0997033783508
100011,2023-01-01 11:00:00,GA,Dallas,Laptops,586.94,2,0.1,Two-Day,9,Google Pay,1056.4920000000002,752.0580448416185,304.43395515838165
100012,2023-01-01 12:00:00,GA,Seattle,Laptops,1309.99,4,0.0,Two-Day,3,Apple Pay,5239.96,3262.139561547355,1977.8204384526452
100013,2023-01-01 13:00:00,NY,Dallas,Gaming,557.43,4,0.05,Standard,1,Debit Card,2118.234,1755.3419849833485,362.8920150166514
100014,2023-01-01 14:00:00,PA,Chicago,Laptops,1428.37,1,0.1,Two-Day,9,Apple Pay,1285.533,944.7477575165765,340.7852424834234
100015,2023-01-01 15:00:00,IL,Seattle,Smartphones,1420.54,4,0.1,Two-Day,5,Debit Card,5113.944,4546.330444525328,567.6135554746725
100016,2023-01-01 16:00:00,TX,Miami,Gaming,234.45,4,0.05,Express,9,Apple Pay,890.91,740.497965274324,150.412034725676
100017,2023-01-01 17:00:00,GA,New York,Cameras,282.42,4,0.2,Express,3,Apple Pay,903.7440000000001,733.8341606671302,169.90983933286998
100018,2023-01-01 18:00:00,PA,Atlanta,Gaming,1296.76,2,0.05,Two-Day,6,Credit Card,2463.844,2145.0293972526833,318.8146027473167
100019,2023-01-01 19:00:00,TX,Dallas,Gaming,601.29,3,0.2,Two-Day,7,Apple Pay,1443.096,1155.0538541450953,288.0421458549047
100020,2023-01-01 20:00:00,IL,Seattle,Accessories,26.47,1,0.0,Two-Day,5,Debit Card,26.47,21.157111990928357,5.312888009071642
100021,2023-01-01 21:00:00,CA,Miami,Accessories,425.33,3,0.0,Two-Day,8,PayPal,1275.99,899.7432055780212,376.24679442197885
100022,2023-01-01 22:00:00,OH,Seattle,Accessories,904.49,4,0.0,Two-Day,6,Debit Card,3617.96,2336.3124273776903,1281.6475726223098
100023,2023-01-01 23:00:00,PA,Miami,Audio,1202.91,4,0.0,Two-Day,6,Apple Pay,4811.64,4015.4474839092427,796.1925160907576
100024,2023-01-02 00:00:00,NC,Miami,Smartphones,217.42,4,0.1,Standard,7,Google Pay,782.712,731.2394426931963,51.47255730680365
100025,2023-01-02 01:00:00,CA,Miami,Gaming,183.6,3,0.0,Standard,8,Credit Card,550.8,400.89604995543704,149.90395004456292
100026,2023-01-02 02:00:00,OH,Columbus,Gaming,1384.7,2,0.2,Standard,2,Google Pay,2215.52,1986.4729772789146,229.04702272108534
100027,2023-01-02 03:00:00,NY,Atlanta,Accessories,1131.7,2,0.0,Express,7,Credit Card,2263.4,1867.7812944963002,395.61870550369986
100028,2023-01-02 04:00:00,WA,New York,Gaming,892.87,1,0.0,Two-Day,9,Credit Card,892.87,668.7901388341164,224.07986116588359
100029,2023-01-02 05:00:00,FL,New York,Cameras,1158.4,3,0.0,Express,1,Google Pay,3475.2000000000003,2316.2543559097217,1158.9456440902786
100030,2023-01-02 06:00:00,NC,Seattle,Gaming,654.7,2,0.0,Express,1,Apple Pay,1309.4,924.828322031358,384.5716779686421
100031,2023-01-02 07:00:00,NY,Seattle,Laptops,1142.51,1,0.0,Express,7,Debit Card,1142.51,924.2874705122363,218.22252948776372
100032,2023-01-02 08:00:00,IL,Miami,Cameras,570.27,4,0.0,Standard,5,Google Pay,2281.08,1858.8311672851994,422.2488327148005
100033,2023-01-02 09:00:00,NY,Columbus,Cameras,381.26,4,0.05,Two-Day,1,PayPal,1448.788,1273.1235238553618,175.66447614463823
100034,2023-01-02 10:00:00,WA,Miami,Gaming,1098.94,1,0.0,Two-Day,1,Credit Card,1098.94,738.5593548387279,360.3806451612721
100035,2023-01-02 11:00:00,IL,Columbus,Audio,641.11,2,0.0,Express,2,Debit Card,1282.22,987.2942560097844,294.92574399021566
100036,2023-01-02 12:00:00,NC,Miami,Accessories,1472.44,3,0.1,Standard,9,PayPal,3975.5879999999997,2725.915817125411,1249.6721828745885
100037,2023-01-02 13:00:00,WA,Dallas,Smartphones,537.24,1,0.0,Express,3,Debit Card,537.24,419.839985663798,117.40001433620199
100038,2023-01-02 14:00:00,TX,Dallas,Smartphones,1384.16,2,0.0,Express,9,Apple Pay,2768.32,2050.77124148686,717.54875851314
